iso3,country,framework,report_title,report_date,publication_url,pdf_sha256,metric,year,value,unit,pdf_page,printed_page,table_ref,definition_basis,debt_perimeter,incl_central_bank,incl_guarantees,incl_nonguaranteed_soe,domestic_fx_linked_flag,is_proxy,proxy_source,extraction_method,confidence,notes
AFG,Afghanistan,LIC_DSF,Islamic Republic of Afghanistan: First Review Under the Under the Extended Credit Facility Arrangement and Request for Modification of Performance Criteria-Press Release; Staff Report; and Statement by the Executive Director for Islamic Republic of Afghanistan,2021-06-28,https://elibrary.imf.org/view/journals/002/2021/138/002.2021.issue-138-en.xml,c3131c4b2b32df57bc749318f524ef40c172148a980d13d9138846152fb5db34,fx_share,2020,100.0,pct_total_debt,81,6,"Table 2. Islamic Republic of Afghanistan: Public Sector Debt Sustainability Framework, Baseline Scenario, 2020–41",currency,central_government,y,n,n,unknown,n,,table,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=551d8bc031804a151f2f821dd4fbbe4373ff9bd50b514965aefd49759ee99bb6. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/AFG.json. On PDF page 81, Table 2 shows the latest actual year as 2020, with “Public sector debt 1/” equal to 7.5 percent of GDP and its subordinate “of which: external debt” row also equal to 7.5 percent of GDP. | The table’s definition box explicitly states “Definition of external/domestic debt: Currency-based,” so external debt is usable as a direct foreign-currency measure rather than a residency proxy. | Visible arithmetic: 7.5 foreign-currency debt / 7.5 total debt × 100 = 100 percent. | Footnote 1 states: “Coverage of debt: The central government, central bank.” This establishes debt_perimeter=central_government and incl_central_bank=y despite the generic public-sector table title. | Text Table 2 on PDF page 80 marks central government and central bank as covered; guarantees and non-guaranteed SOE debt are not marked as covered."
AGO,Angola,MAC_SRDSF,Angola: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Angola,2026-05-01,https://elibrary.imf.org/view/journals/002/2026/094/002.2026.issue-094-en.xml,e539f15419367e648ea1956da7fd04194da8ecd7cdd57f15bd26badde53022bc,fx_share,2025,70.0,pct_total_debt,57,52,"Annex IV, Figure 1, DSA Summary Assessment",currency,public_sector,n,y,y,unknown,n,,text,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=238ce2e6f9310fc67b3a73c158f662a420c3af43fa0cde2e4e1c47d22c54deb5. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/AGO.json. PDF page 57 (printed page 52), DSA Summary Assessment: “significant currency exposure—with about 70 percent of public debt denominated in foreign currency.” This is a direct currency-denomination share: approximately 70 / 100 = 70 percent of total public debt. | PDF page 58 (printed page 53) provides the DSA coverage footnote: the public-debt perimeter covers central-government domestic and external debt; external debt of Sonangol and TAAG; public guarantees; and reported external liabilities of other state entities, including external arrears. This supports classification as public_sector rather than a narrower central- or general-government perimeter. | The page-58 coverage matrix marks the central bank as not included. The coverage footnote explicitly includes public guarantees and external debt of the state-owned Sonangol and TAAG. | The observation is dated 2025 in the surrounding assessment and is historical/actual rather than a projection."
ALB,Albania,MAC_SRDSF,Albania: 2025 Article IV Consultation-Press Release; and Staff Report,2025-12-01,https://elibrary.imf.org/view/journals/002/2025/345/002.2025.issue-345-en.xml,6ffe26fa2ca8d2006bbad7d4c682ab5011ba94d6e2143827733dbc5c44f31eda,fx_share,2024,42.2,pct_total_debt,56,50,Annex V. Figure 3. Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=ca69b2ad0ce4dc0dfd73c12a54f4c4d35375bcdc13975e43a15c1fc844cd9a71. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/ALB.json. Candidate 6, PDF page 56 (printed page 50), directly presents “Debt by Currency (Percent of GDP)” with separate Foreign currency and Local currency series. | The note immediately beneath the currency chart states: “The perimeter shown is general government.” | The projection marker begins after the 2024 historical observation, making 2024 the latest visible actual year. | At 2024, the foreign-currency area is approximately 23.0 percent of GDP. Total public debt is 54.5 percent of GDP, also shown exactly for 2024 in the selected-economic-indicators table on candidate 1. | Visible arithmetic: approximately 23.0 ÷ 54.5 × 100 = 42.2 percent of total debt. | This is a direct currency-based measure, not an external-debt proxy. Values involving the figure are estimates, so confidence is below high."
ARE,United Arab Emirates,MAC_SRDSF,United Arab Emirates: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for United Arab Emirates,2025-12-01,https://elibrary.imf.org/view/journals/002/2025/327/002.2025.issue-327-en.xml,2bf541bdce1311ed915eb29d9cc5e7dfbd2c1f11305b402864ec2e11b5ad4acc,fx_share,2024,56.0,pct_total_debt,42,37,Annex II. Table 3. United Arab Emirates: Public Debt Structure Indicators — Debt by Currency,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=bdfa844314499f084eabc87df54ac0f2053717b0d820fa7881e96ab2fb4f3a35. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/ARE.json. Candidate 4, PDF page 42 (printed page 37), directly labels the upper chart “Debt by Currency (percent of GDP)” and identifies the light-blue component as “Foreign currency.” | The chart explicitly notes: “The perimeter shown is general government.” | The latest historical point is 2024; the visible projection marker begins after 2024, so 2024 is treated as actual. | The 2024 foreign-currency component is approximately 19.5 percent of GDP from the plotted boundary. Candidate 3, PDF page 32, reports exact 2024 gross general government debt of 34.9 percent of GDP. | Visible arithmetic: approximately 19.5 / 34.9 × 100 = 55.9 percent, rounded to 56.0 percent of total debt. | This is a currency-based observation, not a residency- or governing-law-based proxy."
ARG,Argentina,MAC_SRDSF,"Argentina: 2026 Article IV Consultation, Second Review under the Extended Arragnement under the Extended Fund Facility, Requests for a Waiver of Nonobservance of a Performance Criterion, Modification of Performance Criteria, and Financing Assurances Review-Press Release; Staff Report; Staff Supplement; and Statement by the Executive Director for Argentina",2026-05-01,https://elibrary.imf.org/view/journals/002/2026/105/002.2026.issue-105-en.xml,5824a253c59aeb413070f0d56cfbafa7f750f26c476636024fdc46964ebac85e,fx_share,2025,55.7,pct_total_debt,79,75,Table 4. Argentina: Public Debt Structure Indicators,currency,central_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=62777f32e8a3efa6795ec0a0cc2b23dddf61362ccb0d0942657f86025222b4ad. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/ARG.json. The top panel of Table 4 visibly decomposes debt into “Foreign currency” and “Local currency,” establishing a currency basis. | The chart’s note states: “The perimeter shown is central government.” | The projection marker begins after 2025, so 2025 is the latest historical actual observation. | From the 2025 stacked area, foreign-currency debt is approximately 44 percent of GDP and total debt approximately 79 percent of GDP; visible arithmetic: 44 / 79 × 100 ≈ 55.7 percent. | Values are chart estimates rather than printed data labels, so confidence is below high."
ARM,Armenia,MAC_SRDSF,"Republic of Armenia: First Review Under the Stand-By Arrangement, Request for  Modification of Performance Criteria and Monetary Policy Consultation Clause-Press Release; and Staff Report",2026-06-01,https://elibrary.imf.org/view/journals/002/2026/132/002.2026.issue-132-en.xml,baa3fa20ccb820b30132439f331dd62a6026cce7a26bce74b95e7239a07789ea,fx_share,2025,48.8,pct_total_debt,25,21,"Table 3a. Armenia: Central Government Operations, 2022–31",currency,public_sector,y,n,n,n,n,,table,high,"TEA-878 source adjudication. Review ID 4ddf57dda92ffc35. Decision correct_value. Visible arithmetic: 23.9 / 49.0 x 100 = 48.7755 percent, rounded to 48.8 percent of total debt. The domestic and foreign components also sum to the reported denominator: 25.0 + 23.9 = 48.9, a 0.1-point difference attributable to displayed rounding.. Evidence: PDF pages 2, 3, and 5 establish the Armenia report identity. PDF page 4 is an earlier selected-indicators table and does not provide the decisive currency split. | PDF page 23, printed page 19, reports 2025 central-government debt of 47.3 percent of GDP, while PDF page 24, printed page 20, reports external debt and an external-public component; those rows have different carriers and are not combined. | Canonical PDF page 25, printed page 21, Table 3a reports 2025 public-sector debt of 49.0 percent of GDP, domestic-currency debt of 25.0 percent, and foreign-currency debt of 23.9 percent. | Table 3a footnote 4 defines the public-sector carrier as central government and central bank, establishing public_sector as the faithful perimeter, with the central bank included and no SOE or guarantee component. | Canonical Table 3a directly reports the 2025 public-sector debt denominator and its domestic- and foreign-currency components. Footnote 4 defines the carrier as public-sector debt comprising central government and central bank, so the reviewed perimeter is public_sector with central-bank inclusion. The value is direct currency evidence, not an external-debt or IDS proxy."
ATG,Antigua and Barbuda,MAC_SRDSF,Antigua and Barbuda: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Antigua and Barbuda,2026-05-01,https://elibrary.imf.org/view/journals/002/2026/097/002.2026.issue-097-en.xml,12065cf5992d63b1fcce7a58afc08f7aa58a1428e5369498000e1411a72a6327,fx_share,2025,35.1,pct_total_debt,40,36,"Annex I. Figure 1, “Public debt structure indicators” — Debt by currency",currency,central_government,unknown,y,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=3fe4a4aebd3f77dbf85e75865165fbc915c4f4c327d79c05d1c333d742f20d7d. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/ATG.json. Candidate 4 (PDF page 40; printed page 36) directly labels the upper chart “Debt by currency (percent of GDP)” and distinguishes Foreign currency, Local currency, and Local-linked debt. | The chart’s coverage note states: “The perimeter shown is central government.” | The final historical point is 2025; the projection marker begins after 2025. The 2025 foreign-currency layer is approximately 24 percent of GDP. | Candidate 0 (PDF page 4) reports 2025 public debt stock at 68.3 percent of GDP; its footnote states that this includes central-government guarantees of state enterprises’ and statutory bodies’ debt. | Visible arithmetic: approximately 24.0 / 68.3 × 100 = 35.1 percent of total debt. Because the numerator is read from an unlabeled chart scale, this is a figure estimate rather than an exact reported value."
AUS,Australia,MAC_SRDSF,Australia: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Australia,2026-02-01,https://elibrary.imf.org/view/journals/002/2026/038/002.2026.issue-038-en.xml,206211e3b47d972540b3d010061f98fe9ed23027206fd6b087d7f7a557e1dd56,fx_share,2024,0.0,pct_total_debt,55,49,"Figure 3. Australia: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,general_government,n,unknown,n,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 4cec4c267bf16c80. Decision correct_value. Visible arithmetic: At 2024, foreign-currency debt is 0.0 percent of GDP and total general-government debt is positive at about 50 percent of GDP; 100 x 0.0 / positive total = 0.0 percent of total debt.. Evidence: PDF page 55 (printed page 49) is an explicit Debt by Currency chart for Australia; its panel note states that the perimeter is general government. | The canonical PDF is vector, not raster. At the 2024 actual point the foreign-currency series coincides exactly with the zero baseline; the foreign series is nonzero in 2015-2016, confirming that the category is encoded and not silently omitted. | PDF page 54 selects general-government DSA coverage and excludes the central bank and public nonfinancial corporations. | Candidate pages 4, 8, and 18 contain no compatible debt-by-currency measure and were not used. | Manual source adjudication of an automatic invalid-arithmetic abstention. The exact zero is supported by the canonical vector chart, but confidence remains medium under schema v0's figure-read cap; no validator, schema, source, or gold-set gate was changed."
AZE,Azerbaijan,MAC_SRDSF,Republic of Azerbaijan: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for the Republic of Azerbaijan,2025-04-01,https://elibrary.imf.org/view/journals/002/2025/098/002.2025.issue-098-en.xml,1b6fc77c329db472272699ff93cafe88d36cbf74a5576876bbb762c12f364b6b,fx_share,2023,41.5,pct_total_debt,44,38,"Figure IV.2, Azerbaijan: Public Debt Structure Indicators — Debt by Currency (In Percent of GDP)",currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=f15250731e65c9db11b2ad045f7d3bf0ae13474c3055c4c2bca88785fe140a8b. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/AZE.json. The upper chart is explicitly titled “Debt by Currency (In Percent of GDP)” and separates Foreign currency, Local currency, and Local-linked debt. | The note directly below the currency chart states: “The perimeter shown is general government.” | The projection marker begins after the 2023 observation, making 2023 the latest visible historical actual year. | From the stacked-area chart at 2023, foreign-currency debt is approximately 9.0 percent of GDP and total debt approximately 21.7 percent of GDP. | Visible arithmetic: 9.0 ÷ 21.7 × 100 ≈ 41.5 percent of total debt. Values are graphical estimates rather than tabled figures. | The separate governing-law pie chart is not used because governing law is not a currency measure."
BDI,Burundi,LIC_DSF,Burundi: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Burundi,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/150/002.2026.issue-150-en.xml,3d0e08d3a94948e830682ebfe444ee404c4d71673ece7c53f558ff2e24501b0f,fx_share,2025,25.8,pct_total_debt,103,15,"Table 1. Burundi: Decomposition of Public Debt and Debt Service by Creditor, 2024-26",residency,central_government,y,y,n,unknown,y,external_share_residency,table,medium,"TEA-878 source adjudication. Review ID 2f49d0d6d1b53bd6. Decision correct_value. Visible arithmetic: 727.6 / 2,818.1 x 100 = 25.82 percent, which rounds to the table's reported 25.8 percent.. Evidence: PDF page 103 reports total debt of 2,818.1 and external debt of 727.6, with the latter shown as 25.8 percent of total debt. | PDF page 90 defines external debt by residency and limits the base perimeter to central-government external and domestic debt. | PDF page 91 marks central government, guarantees, and central-bank borrowing on behalf of government as covered; non-guaranteed SOE debt is unmarked. | Latest actual is end-2025. Table 1 reports a 25.8 percent residency-based external share of central-government debt. Retain only as an explicit proxy; no direct currency split is disclosed."
